"PropertyID - Yardi Number","Web Property ID - Yardi Number","Residence","Yardi Care Level","Marketing Care Level","Yardi Suite Type Description","Web SuiteTitle","Regular SuitePrice","PromotionPrice","Start Date","End Date","ltc"
"11214","11094"," Bankside Seniors Apartments","IL","SA","1 bedroom with full kitchen","1bed","3884",,"","",
"11214","11094"," Bankside Seniors Apartments","IL","SA","2 bedrooms with full kitchen","2bed","4274",,"","",
"11019","11019"," Barton","ISL","IL","1 bedroom with kitchenette","1bed","6001",,"","",
"11019","11019"," Barton","ISL","IL","2 bedrooms with kitchenette","2bed","7496",,"","",
"11019","11019"," Barton","ISL","IL","Studio with no kitchen","studio","3616",,"","",
"11002","11002"," Bayview","ISL","IL","1 bedroom with no kitchen","1bed","6823",,"","",
"11002","11002"," Bayview","ISL","IL","Studio with no kitchen","studio","4448",,"","",
"11072","11072"," Birchwood","ISL","IL","Studio","studio","3780",,"","",
"11072","11072"," Birchwood","ISL","IL","1 bedroom with full kitchen","1bed","4605",,"","",
"11072","11072"," Birchwood","ISL","IL","2 bedrooms with full kitchen","2bed","5665",,"","",
"11072","11072"," Birchwood","ISL","IL","Town house - 2 bedrooms with kitchen","townhouse-1bed-2beds","5925",,"","",
"11265","11265"," Bowmanville Creek","AL","AL","Studio with kitchenette","studio","7594",,"","",
"11265","11265"," Bowmanville Creek","ISL","IL","1 Bedroom + Den with kitchenette","1bed-and-den","7106",,"","",
"11265","11265"," Bowmanville Creek","ISL","IL","1 bedroom with kitchenette","1bed","6026",,"","",
"11265","11265"," Bowmanville Creek","ISL","IL","2 bedrooms with kitchenette","2bed","7406",,"","",
"11265","11265"," Bowmanville Creek","ISL","IL","Studio with kitchenette","studio","4876",,"","",
"11070","11070"," Carlton","ISL","IL","1 bedroom with kitchenette","1bed","5423",,"","",
"11070","11070"," Carlton","ISL","IL","2 bedrooms with kitchenette","2bed","8326",,"","",
"11070","11070"," Carlton","ISL","IL","Studio with kitchenette","studio","4289",,"","",
"11048","11048"," Carrington House","ISL","IL","1 Bedroom + Den with full kitchen","1bed-and-den","4300",,"","",
"11048","11048"," Carrington House","ISL","IL","1 bedroom with full kitchen","1bed","3910",,"","",
"11048","11048"," Carrington House","ISL","IL","2 bedrooms with full kitchen","2bed","4820",,"","",
"11048","11048"," Carrington House","ISL","IL","Studio with no kitchen","studio","2895",,"","",
"11069","11069"," Carrington Place","ISL","IL","1 Bedroom + Den with kitchenette","1bed-and-den","5388",,"","",
"11069","11069"," Carrington Place","ISL","IL","1 bedroom with kitchenette","1bed","4048",,"","",
"11069","11069"," Carrington Place","ISL","IL","2 bedrooms with kitchenette","2bed","5693",,"","",
"11069","11069"," Carrington Place","ISL","IL","Studio with kitchenette","studio","3088",,"","",
"11192","11192"," Cedarbrooke","ISL","IL","1 Bedroom + Den with full kitchen","1bed-and-den","5233",,"","",
"11192","11192"," Cedarbrooke","ISL","IL","1 bedroom with kitchenette","1bed","4300",,"","",
"11192","11192"," Cedarbrooke","ISL","IL","2 bedrooms with full kitchen","2bed","5868",,"","",
"11192","11192"," Cedarbrooke","ISL","IL","Studio with kitchenette","studio","3216",,"","",
"11076","11076"," Chateau Cornwall","ISL","IL","1 Bedroom + Den with no kitchen","1bed-and-den","5513",,"","",
"11076","11076"," Chateau Cornwall","ISL","IL","1 bedroom with no kitchen","1bed","5393",,"","",
"11076","11076"," Chateau Cornwall","ISL","IL","Studio with no kitchen","studio","3708",,"","",
"11131","11131"," Chatsworth","ISL","IL","1 bedroom with kitchenette","1bed","4969",,"","",
"11131","11131"," Chatsworth","ISL","IL","2 bedrooms with kitchenette","2bed","6489",,"","",
"11131","11131"," Chatsworth","ISL","IL","Studio with kitchenette","studio","4494",,"","",
"11131","11131"," Chatsworth","ISL","SA","Town house - 1 bedroom with kitchen","townhouse-1bed-2beds","6749",,"","",
"11116","11116"," Churchill House","ISL","IL","1 Bedroom + Den with kitchenette","1bed-and-den","7320",,"","",
"11116","11116"," Churchill House","ISL","IL","1 bedroom with kitchenette","1bed","6345",,"","",
"11116","11116"," Churchill House","ISL","IL","2 bedrooms with kitchenette","2bed","8845",,"","",
"11116","11116"," Churchill House","ISL","IL","Studio with kitchenette","studio","5395",,"","",
"11213","11213"," Clair Hills","AL","AL","1 bedroom with no kitchen","1bed","9874",,"","",
"11213","11213"," Clair Hills","AL","AL","Studio with no kitchen","studio","8579",,"","",
"11213","11213"," Clair Hills","ISL","IL","1 Bedroom + Den with kitchenette","1bed-and-den","7761",,"","",
"11213","11213"," Clair Hills","ISL","IL","1 bedroom with kitchenette","1bed","6956",,"","",
"11213","11213"," Clair Hills","ISL","IL","2 Bedrooms + Den with kitchenette","2beds-and-den","9421",,"","",
"11213","11213"," Clair Hills","ISL","IL","2 bedrooms with kitchenette","2bed","8601",,"","",
"11213","11213"," Clair Hills","ISL","IL","Studio with kitchenette","studio","5691",,"","",
"11063","11063"," Collegiate Heights","ISL","IL","1 bedroom with kitchenette","1bed","5310",,"","",
"11063","11063"," Collegiate Heights","ISL","IL","2 bedrooms with kitchenette","2bed","7385",,"","",
"11063","11063"," Collegiate Heights","ISL","IL","Studio with no kitchen","studio","3410",,"","",
"11034","11034"," Colonel Belcher","FND",,"Studio with kitchenette",,,,"","",
"11034","11034"," Colonel Belcher","ISL","IL","1 bedroom","1bed","4004",,"","",
"11034","11034"," Colonel Belcher","ISL","IL","2 bedrooms with full kitchen","2bed","5589",,"","",
"11034","11034"," Colonel Belcher","ISL","IL","Studio with kitchenette","studio","2789",,"","",
"11017","11017"," Colonial","ISL","IL","1 bedroom with kitchenette","1bed","4931",,"","",
"11017","11017"," Colonial","ISL","IL","Studio with kitchenette","studio","3331",,"","",
"11097","11097"," Conservatory Pond","ISL","IL","1 bedroom with kitchenette","1bed","4906",,"","",
"11097","11097"," Conservatory Pond","ISL","IL","2 bedrooms with kitchenette","2bed","6501",,"","",
"11097","11097"," Conservatory Pond","ISL","IL","Studio with kitchenette","studio","3971",,"","",
"13071","13071"," Crescent Gardens","ISL","IL","1 Bedroom + Den with full kitchen","1bed-and-den","7260",,"","",
"13071","13071"," Crescent Gardens","ISL","IL","1 bedroom with kitchenette","1bed","6230",,"","",
"13071","13071"," Crescent Gardens","ISL","IL","Studio with no kitchen","studio","2875",,"","",
"13071","13071"," Crescent Gardens","ISL","IL","2 bedrooms with kitchenette","2bed","6160",,"","",
"11133","11133"," Deerview Crossing","ISL","IL","1 Bedroom + Den with kitchenette","1bed-and-den","6881",,"","",
"11133","11133"," Deerview Crossing","ISL","IL","1 bedroom with kitchenette","1bed","5536",,"","",
"11133","11133"," Deerview Crossing","ISL","IL","2 bedrooms with kitchenette","2bed","8336",,"","",
"11133","11133"," Deerview Crossing","ISL","IL","Studio with kitchenette","studio","5621",,"","",
"11133","11133"," Deerview Crossing","MEM","MC","1 bedroom with kitchenette","1bed","8325",,"","",
"11133","11133"," Deerview Crossing","MEM","MC","2 bedrooms with kitchenette","2bed","10710",,"","",
"11133","11133"," Deerview Crossing","MEM","MC","Studio with kitchenette","studio","7700",,"","",
"11108","11108"," Domaine de Bordeaux","AL","AL","Studio sans cuisine","studio","5728",,"","",
"11108","11108"," Domaine de Bordeaux","ISL","IL","1 chambre sans cuisine","1bed","3004",,"","",
"11108","11108"," Domaine de Bordeaux","ISL","IL","Studio sans cuisine - 1 1/2","studio","2539",,"","",
"11074","11074"," Eau Claire","ISL","IL","1 bedroom with kitchenette","1bed","5895",,"","",
"11074","11074"," Eau Claire","ISL","IL","2 bedrooms with kitchenette","2bed","7795",,"","",
"11074","11074"," Eau Claire","ISL","IL","Studio with kitchenette","studio","5640",,"","",
"11074","11074"," Eau Claire","FND",,"1 bedroom with kitchenette",,,,"","",
"11074","11074"," Eau Claire","FND",,"Studio with kitchenette",,,,"","",
"11247","11247"," Emerald Hills","ISL","IL","1 Bedroom + Den with full kitchen","1bed-and-den","5346",,"","",
"11247","11247"," Emerald Hills","ISL","IL","1 bedroom with full kitchen","1bed","4352",,"","",
"11247","11247"," Emerald Hills","ISL","IL","2 bedrooms with full kitchen","2bed","6152",,"","",
"11247","11247"," Emerald Hills","FND",,"Studio with kitchenette",,,,"","",
"11079","11079"," Empress Kanata","ISL","IL","1 bedroom with kitchenette","1bed","5546",,"","",
"11079","11079"," Empress Kanata","ISL","IL","2 bedrooms with no kitchen","2bed","6406",,"","",
"11079","11079"," Empress Kanata","ISL","IL","Studio with kitchenette","studio","3201",,"","",
"11079","11079"," Empress Kanata","MEM","MC","1 bedroom with kitchenette","1bed","9034",,"","",
"11079","11079"," Empress Kanata","MEM","MC","Studio with kitchenette","studio","6724",,"","",
"11156","11156"," Fountains of Mission","ISL","IL","1 bedroom with kitchenette","1bed","3460",,"","",
"11156","11156"," Fountains of Mission","ISL","IL","2 bedrooms with kitchenette","2bed","5740",,"","",
"11156","11156"," Fountains of Mission","FND",,"1 bedroom with kitchenette",,,,"","",
"11156","11156"," Fountains of Mission","FND",,"Studio with kitchenette",,,,"","",
"11006","11006"," Georgian","ISL","IL","1 bedroom with no kitchen","1bed","6023",,"","",
"11006","11006"," Georgian","ISL","IL","Studio with no kitchen","studio","4093",,"","",
"11136","11136"," Georgian Traditions","ISL","IL","1 Bedroom + Den with kitchenette","1bed-and-den","6836",,"","",
"11136","11136"," Georgian Traditions","ISL","IL","1 bedroom with kitchenette","1bed","5656",,"","",
"11136","11136"," Georgian Traditions","ISL","IL","2 bedrooms with kitchenette","2bed","7246",,"","",
"11136","11136"," Georgian Traditions","ISL","IL","Studio with kitchenette","studio","5151",,"","",
"11136","11136"," Georgian Traditions","MEM","MC","1 bedroom with kitchenette","1bed","9897",,"","",
"11136","11136"," Georgian Traditions","MEM","MC","2 Bedroom ","2bed","10202",,"","",
"11136","11136"," Georgian Traditions","MEM","MC","Studio with kitchenette","studio","9107",,"","",
"11027","11027"," Gibson","ISL","IL","1 bedroom with kitchenette","1bed","6661",,"","",
"11027","11027"," Gibson","ISL","IL","Studio with kitchenette","studio","4861",,"","",
"11061","11061"," Glacier Ridge","ISL","IL","1 bedroom with kitchenette","1bed","5085",,"","",
"11061","11061"," Glacier Ridge","ISL","IL","2 bedrooms with kitchenette","2bed","6825",,"","",
"11061","11061"," Glacier Ridge","ISL","IL","Studio with no kitchen","studio","2880",,"","",
"11202","11202"," Grenadier","AL","AL","Studio with no kitchen","studio","6773",,"","",
"11202","11202"," Grenadier","ISL","IL","1 bedroom with kitchenette","1bed","5361",,"","",
"11202","11202"," Grenadier","ISL","IL","2 bedrooms with kitchenette","2bed","6671",,"","",
"11202","11202"," Grenadier","ISL","IL","Studio with kitchenette","studio","4041",,"","",
"11202","11202"," Grenadier","MC","MC","Studio with no kitchen","studio","7170",,"","",
"11244","11244"," Griesbach","ISL","IL","1 bedroom with full kitchen","1bed","4089",,"","",
"11244","11244"," Griesbach","ISL","IL","2 bedrooms with full kitchen","2bed","5049",,"","",
"11244","11244"," Griesbach","FND",,"Studio with no kitchen",,,,"","",
"11030","11030"," Hampton House","ISL","IL","1 bedroom with full kitchen","1bed","3345",,"","",
"11030","11030"," Hampton House","ISL","IL","2 bedrooms with full kitchen","2bed","4553",,"","",
"11035","11035"," Harbours","ISL","IL","1 bedroom with kitchenette","1bed","4383",,"","",
"11035","11035"," Harbours","ISL","IL","2 bedrooms with full kitchen","2bed","6323",,"","",
"11035","11035"," Harbours","ISL","IL","Studio with kitchenette","studio","3178",,"","",
"11010","11010"," Hartford","ISL","IL","1 bedroom with kitchenette","1bed","5385",,"","",
"11010","11010"," Hartford","ISL","IL","Studio with no kitchen","studio","3425",,"","",
"11206","11206"," Harwood","ISL","IL","1 Bedroom + Den with kitchenette","1bed-and-den","5801",,"","",
"11206","11206"," Harwood","ISL","IL","1 bedroom with kitchenette","1bed","5071",,"","",
"11206","11206"," Harwood","ISL","IL","2 bedrooms with full kitchen","2bed","6708",,"","",
"11206","11206"," Harwood","ISL","IL","Studio with kitchenette","studio","3731",,"","",
"11257","11257"," Hawthorn","ISL","IL","1 Bedroom + Den with no kitchen","1bed-and-den","5935",,"","",
"11257","11257"," Hawthorn","ISL","IL","1 bedroom with no kitchen","1bed","4530",,"","",
"11257","11257"," Hawthorn","ISL","IL","2 bedrooms with no kitchen","2bed","6650",,"","",
"11257","11257"," Hawthorn","ISL","IL","Studio with no kitchen","studio","2905",,"","",
"11243","11243"," Heritage Valley","ISL","IL","1 Bedroom + Den with full kitchen","1bed-and-den","5265",,"","",
"11243","11243"," Heritage Valley","ISL","IL","1 bedroom with full kitchen","1bed","4035",,"","",
"11243","11243"," Heritage Valley","ISL","IL","2 bedrooms with full kitchen","2bed","5745",,"","",
"11243","11243"," Heritage Valley","FND",,"Studio with no kitchen",,,,"","",
"11229","11229"," Hilldale","ISL","IL","1 bedroom with kitchenette","1bed","4902",,"","",
"11229","11229"," Hilldale","ISL","IL","2 bedrooms with kitchenette","2bed","6587",,"","",
"11229","11229"," Hilldale","ISL","IL","Studio with kitchenette","studio","3927",,"","",
"11210","11210"," Hollandview Trail","AL","AL","1 bedroom with no kitchen","1bed","9389",,"","",
"11210","11210"," Hollandview Trail","AL","AL","Studio with no kitchen","studio","7419",,"","",
"11210","11210"," Hollandview Trail","ISL","IL","1 Bedroom + Den with kitchenette","1bed-and-den","8436",,"","",
"11210","11210"," Hollandview Trail","ISL","IL","1 bedroom with kitchenette","1bed","6515",,"","",
"11210","11210"," Hollandview Trail","ISL","IL","2 bedrooms with kitchenette","2bed","8696",,"","",
"11210","11210"," Hollandview Trail","ISL","IL","Studio with kitchenette","studio","6021",,"","",
"11154","11154"," Imperial Place","ISL","IL","1 bedroom with den","1bed-and-den","5977",,"","",
"11154","11154"," Imperial Place","ISL","IL","1 bedroom with kitchenette","1bed","4497",,"","",
"11154","11154"," Imperial Place","ISL","IL","2 bedrooms with kitchenette","2bed","6512",,"","",
"11154","11154"," Imperial Place","ISL","IL","Studio with kitchenette","studio","3147",,"","",
"11201","11201"," Isabella","ISL","IL","1 bedroom with kitchenette","1bed","5457",,"","",
"11201","11201"," Isabella","ISL","IL","2 bedrooms with kitchenette","2bed","6517",,"","",
"11201","11201"," Isabella","ISL","IL","Studio with kitchenette","studio","3587",,"","",
"11066","11066"," Jackson Creek","ISL","IL","1 bedroom with kitchenette","1bed","6326",,"","",
"11066","11066"," Jackson Creek","ISL","IL","2 bedrooms with kitchenette","2bed","7466",,"","",
"11066","11066"," Jackson Creek","ISL","IL","Studio with no kitchen","studio","4096",,"","",
"11099","11099"," Jardins de la Gare","AL","AL","Studio sans cuisine","studio","5690",,"","",
"11099","11099"," Jardins de la Gare","ISL","IL","1 Chambre avec cuisine","1bed","3183",,"","",
"11099","11099"," Jardins de la Gare","ISL","IL","Studio sans cuisine","studio","2193",,"","",
"11099","11099"," Jardins de la Gare (Yamaska Apts)","IL","SA","1 Chambre avec cuisine","1bed","1580",,"","",
"11099","11099"," Jardins de la Gare (Yamaska Apts)","IL","SA","2 chambres avec cuisine","2bed","1800",,"","",
"11185","11185"," Kamloops","ISL","IL","1 Bedroom + Den with kitchenette","1bed-and-den","5701",,"","",
"11185","11185"," Kamloops","ISL","IL","1 bedroom with kitchenette","1bed","4556",,"","",
"11185","11185"," Kamloops","ISL","IL","2 bedrooms with kitchenette","2bed","5656",,"","",
"11185","11185"," Kamloops","ISL","IL","Studio with kitchenette","studio","3641",,"","",
"11237","11237"," Lakeshore","AL","AL","Studio with no kitchen","studio","9001",,"","",
"11237","11237"," Lakeshore","ISL","IL","1 bedroom with kitchenette","1bed","7364",,"","",
"11237","11237"," Lakeshore","ISL","IL","Studio with kitchenette","studio","4969",,"","",
"11237","11237"," Lakeshore","MC","MC","Studio with no kitchen","studio","9364",,"","",
"11073","11073"," Langley Gardens","ISL","IL","1 Bedroom + Den with kitchenette","1bed-and-den","6260",,"","",
"11073","11073"," Langley Gardens","ISL","IL","1 bedroom with full kitchen","1bed","4810",,"","",
"11073","11073"," Langley Gardens","ISL","IL","2 bedrooms with full kitchen","2bed","5910",,"","",
"11073","11073"," Langley Gardens","ISL","IL","Studio with full kitchen","studio","4420",,"","",
"11073","11073"," Langley Gardens","MEM",,"1 bedroom with no kitchen",,,,"","",
"11073","11073"," Langley Gardens","MEM","MC","Studio with no kitchen","studio","9265",,"","",
"11141","11141"," Lansing","ISL","IL","1 bedroom with kitchenette","1bed","4332",,"","",
"11141","11141"," Lansing","ISL","IL","Studio with no kitchen","studio","3187",,"","",
"11266","11266"," L'aubier","AL",,"Studio sans cuisine",,,,"","",
"11266","11266"," L'aubier","ISL",,"1 Chambre + Boudoir avec cuisine",,,,"","",
"11266","11266"," L'aubier","ISL",,"1 Chambre avec cuisine",,,,"","",
"11266","11266"," L'aubier","ISL",,"2 chambres avec cuisine",,,,"","",
"11266","11266"," L'aubier","ISL",,"3 chambres avec cuisine",,,,"","",
"11266","11266"," L'aubier","ISL",,"Studio avec cuisinette",,,,"","",
"11042","11042"," Le Duplessis","ISL","IL","1 Chambre avec cuisine","1bed","2143",,"","",
"11042","11042"," Le Duplessis","ISL","IL","2 chambres avec cuisine","2bed","2680",,"","",
"11042","11042"," Le Duplessis","ISL",,"Studio avec cuisine (2 1/2)",,"1560",,"","",
"11042","11042"," Le Duplessis","ISL","IL","Studio sans cuisine","studio","2049",,"","",
"11262","11262"," Le Florilège","AL","AL","Studio sans cuisine","studio","5949",,"","",
"11262","11262"," Le Florilège","ISL","IL","1 Chambre avec cuisine","1bed","2780",,"","",
"11262","11262"," Le Florilège","ISL","IL","2 chambres avec cuisine","2bed","3885",,"","",
"11262","11262"," Le Florilège","ISL","IL","3 chambres avec cuisine","3beds","4310",,"","",
"11262","11262"," Le Florilège","ISL","IL","Studio avec cuisine","studio","2904",,"","",
"11242","11242"," L'Envol","AL","AL","Studio sans cuisine","studio","5970",,"","",
"11242","11242"," L'Envol","ISL","IL","1 Chambre avec cuisine","1bed","2083",,"","",
"11242","11242"," L'Envol","ISL","IL","2 chambres avec cuisine","2bed","2890",,"","",
"11242","11242"," L'Envol","ISL","IL","3 chambres avec cuisine","3beds","4852",,"","",
"11242","11242"," L'Envol","ISL","IL","Studio avec cuisine","studio","2677",,"","",
"11227","11227"," Lord Lansdowne","AL","AL","1 bedroom with no kitchen","1bed","9593",,"","",
"11227","11227"," Lord Lansdowne","AL","AL","Studio with no kitchen","studio","7613",,"","",
"11227","11227"," Lord Lansdowne","ISL","IL","1 Bedroom + Den with kitchenette","1bed-and-den","9961",,"","",
"11227","11227"," Lord Lansdowne","ISL","IL","1 bedroom with kitchenette","1bed","6561",,"","",
"11227","11227"," Lord Lansdowne","ISL","IL","2 bedrooms with kitchenette","2bed","9861",,"","",
"11227","11227"," Lord Lansdowne","ISL","IL","Studio with kitchenette","studio","4066",,"","",
"11046","11046"," Lynnwood","ISL","IL","1 bedroom with full kitchen","1bed","4395",,"","",
"11046","11046"," Lynnwood","ISL","IL","2 bedrooms with full kitchen","2bed","5478",,"","",
"11046","11046"," Lynnwood","ISL","IL","Studio with full kitchen","studio","3271",,"","",
"11163","11163"," Manoir Archer","AL","AL","1 Chambre avec cuisine","1bed","6417",,"","",
"11163","11163"," Manoir Archer","AL","AL","Studio sans cuisine","studio","6077",,"","",
"11163","11163"," Manoir Archer","ISL","IL","1 Chambre avec cuisine","1bed","2187",,"","",
"11163","11163"," Manoir Archer","ISL","IL","2 chambres avec cuisine","2bed","2690",,"","",
"11163","11163"," Manoir Archer","ISL","IL","3 chambres avec cuisine","3beds","3745",,"","",
"11163","11163"," Manoir Archer","ISL","IL","Studio avec cuisinette","studio","2228",,"","",
"11162","11162"," Manoir et Cours de l'Atrium","AL","AL","1 chambre avec cuisinette","1bed","6642",,"","",
"11162","11162"," Manoir et Cours de l'Atrium","AL","AL","2 chambres avec cuisine","2bed","7004",,"","",
"11162","11162"," Manoir et Cours de l'Atrium","AL","AL","Studio avec cuisinette","studio","5482",,"","",
"11162","11162"," Manoir et Cours de l'Atrium","ISL",,"1 chambre avec cuisinette",,"3656",,"","",
"11162","11162"," Manoir et Cours de l'Atrium","ISL",,"2 chambres",,"4038",,"","",
"11162","11162"," Manoir et Cours de l'Atrium","ISL","IL","Studio sans cuisine 2 1/2","deluxe-studio","2636",,"","",
"11162","11162"," Manoir et Cours de l'Atrium (appartements)","ISL","IL","1 Chambre avec cuisine","1bed","1535",,"","",
"11162","11162"," Manoir et Cours de l'Atrium (appartements)","ISL","IL","2 chambres avec cuisine","2bed","2050",,"","",
"11162","11162"," Manoir et Cours de l'Atrium (appartements)","ISL","IL","3 chambres avec cuisine","3beds","2360",,"","",
"11024","11024"," Martha's Landing","ISL","IL","1 bedroom with kitchenette","1bed","5178",,"","",
"11024","11024"," Martha's Landing","ISL","IL","Studio with kitchenette","studio","4123",,"","",
"11146","11146"," McConnell","ISL","IL","1 bedroom with kitchenette","1bed","4719",,"","",
"11146","11146"," McConnell","ISL","IL","Studio with no kitchen","studio","3567",,"","",
"11146","11146"," McConnell (Apartments)","IL","SA","1 bedroom with kitchenette","1bed","3058",,"","",
"11146","11146"," McConnell (Apartments)","IL","SA","2 bedrooms with kitchenette","2bed","4263",,"","",
"11146","11146"," McConnell (Apartments)","IL","SA","Studio with kitchenette","studio","2502",,"","",
"11028","11028"," Meadowbrook","IL","SA","1 bedroom with full kitchen","1bed","3370",,"","",
"11028","11028"," Meadowbrook","IL","SA","2 bedrooms with full kitchen","2bed","3605",,"","",
"11028","11028"," Meadowbrook","ISL",,"1 bedroom with kitchenette",,"5040",,"","",
"11028","11028"," Meadowbrook","ISL",,"Studio with kitchenette",,"4635",,"","",
"11028","11028"," Meadowbrook","ISL","IL","Studio with no kitchen","studio","3710",,"","",
"11215","11028"," Meadowbrook Village","IL","SA","Town house - 2 bedrooms with kitchen","townhouse-1bed-2beds","4319",,"","",
"11215","11028"," Meadowbrook Village","ISL","IL","1 bedroom with kitchenette","1bed","5439",,"","",
"11205","11205"," Montgomery Village","ISL","IL","1 Bedroom + Den with kitchenette","1bed-and-den","6954",,"","",
"11205","11205"," Montgomery Village","ISL","IL","1 bedroom with kitchenette","1bed","5974",,"","",
"11205","11205"," Montgomery Village","ISL","IL","2 bedrooms with kitchenette","2bed","7779",,"","",
"11205","11205"," Montgomery Village","ISL","IL","Studio with kitchenette","studio","5224",,"","",
"11232","11205"," Montgomery Village Phase II (Apartments)","ISL","SA","1 bedroom with full kitchen","1bed","4497",,"","",
"11232","11205"," Montgomery Village Phase II (Apartments)","ISL","SA","2 bedrooms with full kitchen","2bed","5425",,"","",
"11232","11205"," Montgomery Village Phase II (Apartments)","ISL","SA","Studio with full kitchen","studio","3406","2999","2025-01-01","2025-12-31",
"11036","11036"," New Edinburgh Square","ISL","SA","Studio with kitchenette","studio","4286",,"","",
"11036","11036"," New Edinburgh Square","ISL","SA","1 bedroom with full kitchen","1bed","4191",,"","",
"11036","11036"," New Edinburgh Square","ISL","IL","1 bedroom with kitchenette","1bed","4346",,"","",
"11036","11036"," New Edinburgh Square","ISL","SA","2 bedrooms with full kitchen","2bed","5521",,"","",
"11036","11036"," New Edinburgh Square","ISL","IL","Studio with no kitchen","studio","3301",,"","",
"11170","11170"," Notre Dame Victoriaville","ISL","IL","1 Chambre + Boudoir sans cuisine","1bed-and-den","2433",,"","",
"11170","11170"," Notre Dame Victoriaville","ISL","IL","1 Chambre avec cuisine","1bed","2085",,"","",
"11170","11170"," Notre Dame Victoriaville","ISL","IL","2 chambres avec cuisine","2bed","2585",,"","",
"11170","11170"," Notre Dame Victoriaville","ISL","IL","Studio 2 1/2","deluxe-studio","2433",,"","",
"11170","11170"," Notre Dame Victoriaville","ISL","IL","Studio sans cuisine 1 1/2","studio","1789",,"","",
"11082","11082"," Oak Park LaSalle","ISL","IL","1 bedroom with kitchenette","1bed","5691",,"","",
"11082","11082"," Oak Park LaSalle","ISL","IL","2 bedrooms with kitchenette","2bed","7396",,"","",
"11082","11082"," Oak Park LaSalle","ISL","IL","Studio with kitchenette","studio","4846",,"","",
"11037","11037"," Oak Park Terrace","ISL","IL","1 bedroom with kitchenette","1bed","5852",,"","",
"11037","11037"," Oak Park Terrace","ISL","IL","2 bedrooms with kitchenette","2bed","7157",,"","",
"11037","11037"," Oak Park Terrace","ISL","IL","Studio with kitchenette","studio","5087",,"","",
"11212","11212"," Oak Ridges","ISL","IL","1 Bedroom + Den with kitchenette","1bed-and-den","7461",,"","",
"11212","11212"," Oak Ridges","ISL","IL","1 bedroom with kitchenette","1bed","6346",,"","",
"11212","11212"," Oak Ridges","ISL","IL","2 Bedrooms + Den with kitchenette","2beds-and-den","8271",,"","",
"11212","11212"," Oak Ridges","ISL","IL","2 bedrooms with kitchenette","2bed","8271",,"","",
"11212","11212"," Oak Ridges","ISL","IL","Studio with kitchenette","studio","4546",,"","",
"11212","11212"," Oak Ridges","MC","MC","1 bedroom with kitchenette","1bed","9861",,"","",
"11212","11212"," Oak Ridges","MC","MC","Studio with kitchenette","studio","8571",,"","",
"11130","11130"," Oakville","ISL","IL","1 bedroom with kitchenette","1bed","4086",,"","",
"11130","11130"," Oakville","ISL","IL","2 bedrooms with kitchenette","2bed","6061",,"","",
"11130","11130"," Oakville","ISL","IL","Studio with kitchenette","studio","4046",,"","",
"11233","11233"," Orchards","AL","AL","1 bedroom with kitchenette","1bed","8278",,"","",
"11233","11233"," Orchards","AL","AL","Studio with no kitchen","studio","6233",,"","",
